layers,position_range,velocity_range,omega,c1,c2,C1 > c2,C1 == c2,vmax,pop_size,loss1,loss2,average loss2
0,10,1,0.5,0.1,0.9,FALSE,FALSE,7,1000,0.071775179024492,0.009563681446235,0.054683498317553
0,10,1,0.5,0.9,0.9,FALSE,TRUE,7,1000,0.081255685781292,0.012127742976015,0.054831050680031
0,10,1,0.8,0.1,0.1,FALSE,TRUE,15,10,0.165686762432012,0.043835332902793,0.055274099606087
0,10,1,0.5,0.1,0.5,FALSE,FALSE,15,10,0.116244622283271,0.02494656726715,0.056034345364295
0,10,1,0.5,0.9,5,FALSE,FALSE,1,1000,0.087086278409887,0.013705932443863,0.056103658095109
0,10,1,0.2,0.9,5,FALSE,FALSE,7,1000,0.084594836875307,0.011412095509935,0.057286232156416
0,10,1,0.5,5,0.9,TRUE,FALSE,7,100,0.134687404159246,0.02578125139487,0.057476578070015
0,10,1,0.5,0.1,5,FALSE,FALSE,1,100,0.086269600630621,0.013564977621179,0.058028509489761
0,10,1,0.5,5,0.5,TRUE,FALSE,7,10,0.16446104149051,0.039482533051347,0.058373870519502
0,10,1,0.8,0.9,0.1,TRUE,FALSE,15,10,0.099351671654106,0.017729342389974,0.058661120789501
0,10,1,0.2,0.5,5,FALSE,FALSE,7,10,0.15768112472461,0.03842226594283,0.058923341727868
0,10,1,0.2,0.9,5,FALSE,FALSE,7,10,0.102510638187013,0.018074506160536,0.059805768621797
0,10,1,0.5,0.1,0.9,FALSE,FALSE,15,1000,0.104372483207609,0.018175424223139,0.061528062573853
0,10,1,0.2,5,0.9,TRUE,FALSE,15,10,0.188516474360751,0.04702784449863,0.062745724164917
0,10,1,0.5,0.5,0.5,FALSE,TRUE,15,10,0.134230673646491,0.031365605370713,0.062848185231632
0,10,1,0.2,5,5,FALSE,TRUE,15,1000,0.102273441413438,0.016343741905929,0.06337770986036
0,10,1,0.5,0.5,0.9,FALSE,FALSE,7,100,0.08466204997872,0.013363567072334,0.063710998151189
0,10,1,0.5,0.1,5,FALSE,FALSE,15,1000,0.138714945743808,0.029210040046432,0.06373036558692
0,10,1,0.5,0.1,0.5,FALSE,FALSE,7,10,0.148904790459518,0.032791151378017,0.063913475139663
0,10,1,0.2,5,5,FALSE,TRUE,15,100,0.148261407595571,0.033483724221104,0.064397722316088
0,10,1,0.5,0.9,0.5,TRUE,FALSE,15,1000,0.156439968883255,0.03561646969656,0.064618880140243
0,10,1,0.8,0.5,0.5,FALSE,TRUE,1,100,0.142822726896545,0.032452457911281,0.065160565550335
