Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1<=c2,c1==c2,vmax,pop_size,loss1,loss2,average,count,value,param
Cancer,0,10,1,0.8,0.1,0.1,FALSE,,TRUE,15,100,88.5714285714286,88.7074829931973,89.2196700020144,,,
Cancer,0,10,1,0.5,0.1,0.1,FALSE,,TRUE,15,1000,87.1428571428571,87.3195035782227,89.2156093043855,,,
Cancer,0,10,1,0.2,5,0.5,TRUE,,FALSE,7,100,88.5714285714286,88.6501784176203,89.2155426248653,,,
Cancer,0,10,1,0.5,5,0.9,TRUE,,FALSE,15,100,87.1428571428571,87.3195035782227,89.1065011927409,,,
Cancer,0,10,1,0.5,5,5,FALSE,,TRUE,7,100,87.1428571428571,86.8045886851652,89.0517275614291,,,
Cancer,0,10,1,0.5,0.9,0.5,TRUE,,FALSE,7,100,87.1428571428571,87.3500134517084,88.7783749302432,,,
Cancer,0,10,1,0.8,0.1,5,FALSE,,FALSE,1,100,87.1428571428571,87.3195035782227,88.778279508587,,,
Cancer,0,10,1,0.2,0.1,0.9,FALSE,,FALSE,15,100,87.1428571428571,87.3195035782227,88.7682049724146,,,
Cancer,0,10,1,0.2,0.1,0.1,FALSE,,TRUE,1,100,88.5714285714286,88.7444431094557,88.7646294726999,,,
Cancer,0,10,1,0.5,0.5,0.1,TRUE,,FALSE,1,100,82.8571428571429,83.1407302375044,88.7567469202669,,,
Cancer,0,10,1,0.2,5,0.5,TRUE,,FALSE,15,100,88.5714285714286,88.7074829931973,88.7535577761142,,,
Cancer,0,10,1,0.2,5,0.9,TRUE,,FALSE,7,100,88.5714285714286,88.7074829931973,88.753267513679,,,
Cancer,0,10,1,0.2,0.5,0.5,FALSE,,TRUE,7,100,90,90.096256684492,88.7442091293085,,,
Cancer,0,10,1,0.5,0.9,0.9,FALSE,,TRUE,1,10,84.2857142857143,84.5016154844944,88.7173747283956,,,
Cancer,0,10,1,0.8,0.5,0.9,FALSE,,FALSE,15,100,80,80.2293202293202,88.6853311853312,,,
Cancer,0,10,1,0.8,0.1,0.5,FALSE,,FALSE,1,100,88.5714285714286,88.7444431094557,88.6291000841043,,,
Cancer,0,10,1,0.8,0.5,0.9,FALSE,,FALSE,1,1000,84.2857142857143,84.3436502772872,88.6166535555372,,,
