Data set,layers,position_range,velocity_range,omega,c1,c2,C1 > c2,c1<=c2,c1=c2,vmax,pop_size,loss1,loss2,average,,,
forestfires,0,10,1,0.2,5,0.9,,,,15,10,0.17917020627086,0.079697775780565,0.0616900236968,,,
forestfires,0,10,1,0.5,0.5,5,,,,1,100,0.199605184004022,0.075286275766944,0.061728645687019,,,
forestfires,0,10,1,0.2,0.1,0.5,,,,15,10,0.186967285110355,0.0729214849076,0.062057459970966,,,
forestfires,0,10,1,0.5,0.9,0.9,,,,15,100,0.169960845587962,0.07011549176286,0.062107153992767,,,
forestfires,0,10,1,0.2,0.5,0.5,,,,7,10,0.183757870634395,0.073365056158679,0.062196286690636,,,
forestfires,0,10,1,0.2,5,0.5,,,,7,10,0.177807170192515,0.07564092456292,0.062944079238248,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,7,10,0.209305531577305,0.073307755757667,0.063498761998425,,,
forestfires,0,10,1,0.8,0.9,5,,,,1,1000,0.17180065738441,0.072998282516796,0.063570542427125,,,
forestfires,0,10,1,0.2,5,5,,,,15,1000,0.184936984721907,0.087062309343536,0.063966040367209,,,
forestfires,0,10,1,0.2,0.5,0.5,,,,15,10,0.171671012641972,0.077997213814817,0.064735617782369,,,
forestfires,0,10,1,0.5,0.9,0.9,,,,15,1000,0.228387825677952,0.095953378428374,0.064746142509128,,,
forestfires,0,10,1,0.8,0.9,0.1,,,,1,1000,0.278773683889641,0.113696346204846,0.064929751249145,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,15,10,0.168689650635037,0.07207439365316,0.065011504842439,,,
forestfires,0,10,1,0.5,0.1,5,,,,1,10,0.202506567898349,0.074648864996043,0.065327088965473,,,
forestfires,0,10,1,0.5,0.9,0.9,,,,7,1000,0.160952584097922,0.037880708275319,0.066575305490783,,,
forestfires,0,10,1,0.2,5,0.5,,,,15,10,0.179038354700199,0.082671720817177,0.066579153138583,,,
forestfires,0,10,1,0.8,0.5,5,,,,1,1000,0.174910883532253,0.074911187069158,0.066936686913017,,,
forestfires,0,10,1,0.5,0.5,0.5,,,,1,10,0.178222808701483,0.069768181300545,0.067732919454881,,,
forestfires,0,10,1,0.5,0.5,5,,,,15,1000,0.192904918109097,0.090206512801235,0.067953764038246,,,
forestfires,0,10,1,0.8,0.5,5,,,,7,1000,0.175576865608712,0.077674746479811,0.067994247064838,,,
forestfires,0,10,1,0.5,0.1,0.5,,,,15,10,0.196672053958582,0.085322060409273,0.068157302321159,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,15,10,0.182628965327248,0.085288122344693,0.068200654357584,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,15,10,0.182490176351083,0.085781138359507,0.068227411830205,,,
forestfires,0,10,1,0.8,0.1,0.1,,,,1,10,0.184070426590543,0.086239829665172,0.068310552171185,,,
