Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
machine,0,10,1,0.5,0.5,0.9,1,10,0.09253978006972,0.037134502944576,0.028985114073551
machine,0,10,1,0.8,0.1,0.1,15,10,0.117502879804894,0.040838728727162,0.02916190144438
machine,0,10,1,0.8,0.5,0.5,7,100,0.121136832140927,0.048338338941904,0.02920602262745
machine,0,10,1,0.8,5,0.1,15,10,0.097855014326021,0.038151986040151,0.029361974086266
machine,0,10,1,0.2,5,0.1,7,100,0.124391673853799,0.021226763618469,0.029477104687985
machine,0,10,1,0.5,5,0.5,7,10,0.090459952949806,0.036048193189807,0.029741505465646
machine,0,10,1,0.2,0.1,0.9,7,10,0.109416290046105,0.040021249294528,0.029824413688609
machine,0,10,1,0.2,0.9,0.5,15,100,0.097196144561032,0.037982579070178,0.029854867304087
machine,0,10,1,0.5,0.1,0.5,15,10,0.092864804810015,0.037586546364566,0.029915456804043
machine,0,10,1,0.5,0.5,0.1,1,100,0.144870234462226,0.0275175682623,0.030080316501876
machine,0,10,1,0.2,0.1,0.5,15,100,0.135642324662985,0.026548206043662,0.030138257498499
