Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,average1,average2
forestfires,2,0.1,0.1,0.1,1,1000,500,0.158354428939817,0.035671303087372,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.154285327163318,0.034191210480701,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.166632627404534,0.044188867479456,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.188469848667779,0.051255160944344,0.165812880428221,0.0407786371630236
glass,0,0.1,0.5,3.0,1,1000,500,49.5064935064935,50.0,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,49.134199134199115,54.545454545454504,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,75.76544667453759,77.2727272727273,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,51.5278838808251,50.0,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,64.3036161833154,66.6666666666667,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,73.6734693877551,76.1904761904762,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,53.846153846153896,57.1428571428571,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,62.1164021164021,61.9047619047619,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,64.1469641469641,66.6666666666667,58.70442719002889,60.8008658008658
glass,0,0.1,0.5,3.0,1,1000,500,43.023643023643,47.61904761904761,58.70442719002889,60.8008658008658
glass,1,0.1,3.0,3.0,1,1000,500,58.163170163170214,59.0909090909091,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,71.71717171717171,72.7272727272727,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,46.179183135704896,54.545454545454504,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,66.5775401069519,68.1818181818182,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,58.8135254101641,61.9047619047619,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,57.9231692677071,61.9047619047619,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,59.6250808015514,61.9047619047619,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,59.625559625559596,61.9047619047619,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,63.769563769563796,71.4285714285714,60.82140698176506,64.02597402597404
glass,1,0.1,3.0,3.0,1,1000,500,65.8201058201058,66.6666666666667,60.82140698176506,64.02597402597404
glass,2,0.1,0.1,3.0,1,1000,500,49.733501018086,54.545454545454504,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,48.1404958677686,50.0,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,59.3301435406699,63.63636363636361,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,68.6225895316805,72.7272727272727,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,58.8135254101641,61.9047619047619,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,70.2645502645503,76.1904761904762,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,59.6250808015514,61.9047619047619,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,57.5498575498576,57.1428571428571,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,57.6090576090576,66.6666666666667,58.4450706355291,62.186147186147174
glass,2,0.1,0.1,3.0,1,1000,500,54.761904761904795,57.1428571428571,58.4450706355291,62.186147186147174
machine,0,0.4,3.0,0.9,1,1000,500,0.083562458007053,0.020971537053381,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.084929759226301,0.013303909927579,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.032469182949275005,0.003487452194521,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.082852976497315,0.034121415256968,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.035272748425505,0.002168409860237,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.063448927200125,0.011273946922815,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.055455857329846,0.008081379428032,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.056047663678044014,0.008619475105816999,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.092446485930121,0.055278413398961,0.06969092653939571,0.020915458436468398
machine,0,0.4,3.0,0.9,1,1000,500,0.110423206150372,0.051848645216373,0.06969092653939571,0.020915458436468398
machine,1,0.1,3.0,3.0,1,1000,500,0.018026724338594,0.0010222058355960002,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.009084511948352,0.00017073984393900006,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.011279804995918002,0.000595113489704,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.011532873087796,0.000699937420917,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.0076925629578480014,7.38845599064005e-05,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.008575825550782,0.000148750441875,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.006322763663015,6.265140046257161e-05,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.0096955312995,0.00020526605476700005,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.01630389401593,0.002273270073436,0.0113180119195268,0.0006012785524224971
machine,1,0.1,3.0,3.0,1,1000,500,0.014665627337533,0.0007609664036219999,0.0113180119195268,0.0006012785524224971
machine,2,0.1,0.5,3.0,1,1000,500,0.010585233766419,0.00043381760921800013,0.0136278247957545,0.001757493011451674
machine,2,0.1,0.5,3.0,1,1000,500,0.009421467808737,0.00021554788308900005,0.0136278247957545,0.001757493011451674
machine,2,0.1,0.5,3.0,1,1000,500,0.005112407678007999,6.07927305123839e-05,0.0136278247957545,0.001757493011451674
machine,2,0.1,0.5,3.0,1,1000,500,0.01720702458284,0.00169607640704,0.0136278247957545,0.001757493011451674
machine,2,0.1,0.5,3.0,1,1000,500,0.005166765665838,4.54376702473534e-05,0.0136278247957545,0.001757493011451674
